Geography,"total pop, year 2005","age 0-19, year 2005","age 65+, year 2005","Per Capita Income, year 2000","Persons Living Below 200% Poverty, year 2000 ","% all Persons Living Below 200% Poverty Level, year 2000",% adequacy prenatal care (kotelchuck),"% C-section deliveries, 2005-2008","Number of infant deaths, 2005-2008","Infant mortality rate (deaths per 1000 live births), 2005-2008",% low birthweight 2005-2008,"% multiple births, 2005-2008","% publicly financed prenatal care, 2005-2008","% teen births, 2005-2008",,
Orleans,"6,459",877,"2,320","$29,553 ","1,225",19.95,86.62,9.86,0,0,NA,4.23,30.28,4.93,,
Otis,"1,391",302,196,"$25,029 ",305,22.56,82.22,NA,0,0,11.11,NA,28.89,NA,,
Oxford,"13,710","3,728","1,450","$21,828 ","2,528",19.16,82.31,9.75,2,3.31,6.28,4.63,18.93,5.79,,
Palmer,"12,895","3,330","1,964","$18,664 ","2,984",24.12,82.11,14.54,3,5.95,7.95,4.37,43.37,9.13,,
Paxton,"4,556","1,268",619,"$29,573 ",289,7.21,82.74,8.93,0,0,6.55,5.92,11.9,3.55,,
Peabody,"50,954","11,855","8,730","$24,827 ","7,439",15.67,85,13.91,9,4.47,8.13,5.56,31.07,3.72,,
Pelham,"1,415",314,171,"$29,821 ",180,12.89,78.13,NA,1,NA,NA,NA,NA,NA,,
Pembroke,"18,069","5,224","1,547","$27,066 ","2,294",13.62,91.33,16.86,5,6.28,8.04,5.53,15.87,2.76,,
Pepperell,"11,386","3,739",866,"$25,722 ","1,354",12.17,80.13,13.94,1,NA,6.74,3.91,12.91,4.57,,
Peru,836,234,67,"$18,636 ",174,21.72,76.92,NA,0,0,0,NA,NA,NA,,
Petersham,"1,282",285,212,"$24,222 ",171,15.11,84.09,13.64,0,0,11.36,NA,18.18,NA,,
Phillipston,"1,753",521,130,"$18,706 ",300,18.63,91.18,NA,0,0,10.29,7.35,20.59,14.71,,
Pittsfield,"43,949","10,265","8,090","$20,549 ","12,982",29.13,66.01,12.28,7,3.33,8.9,2.99,55.08,12.26,,
Plainfield,600,141,78,"$20,785 ",176,30.56,89.47,NA,0,0,NA,NA,31.58,NA,,
Plainville,"7,994","2,204",956,"$25,816 ",981,12.81,78.96,17.03,0,0,6.95,5.52,11.51,2.16,,
Plymouth,"54,781","14,310","6,330","$23,732 ","8,026",16.32,88.14,15.8,10,3.65,6.25,4.46,24.15,4.42,,
Plympton,"2,777",808,186,"$24,344 ",194,7.37,90.53,18.95,1,NA,16.84,7.37,15.79,NA,,
Princeton,"3,520","1,033",281,"$32,232 ",331,9.89,88.3,12.77,0,0,10.64,8.51,8.51,NA,,
Provincetown,"3,444",303,604,"$26,109 ","1,202",37.13,87.93,12.07,0,0,10.34,NA,64.91,NA,,
Quincy,"90,458","17,676","14,373","$26,001 ","16,871",19.46,87.74,12.14,21,4.38,7.36,3.79,32.45,2.71,,
Randolph,"32,552","8,451","4,041","$23,413 ","4,967",16.19,83.8,15.07,13,8.22,8.23,4.68,37.66,4.3,,
Raynham,"13,428","3,506","1,676","$24,476 ","1,255",10.84,84.58,13.97,2,3.36,7.21,6.04,19.79,4.53,,
Reading,"23,161","6,316","3,315","$32,888 ","1,924",8.17,89.34,16.42,2,1.85,6.44,6.49,6.84,0.93,,
Rehoboth,"11,229","2,966","1,072","$26,467 ","1,103",10.85,87.14,20.05,5,NA,6.87,5.84,21.6,4.57,,
Revere,"45,551","10,446","7,218","$19,698 ","14,699",31.32,81.05,12.78,25,8.69,9.12,3.96,59.23,6.71,,
Richmond,"1,618",345,246,"$35,568 ",155,9.68,78.26,NA,0,0,NA,0,21.74,0,,
Rochester,"5,295","1,432",446,"$24,630 ",515,11.25,89.24,17.5,1,NA,6.25,NA,14.09,NA,,
Rockland,"17,842","4,768","2,348","$23,068 ","2,690",15.44,88.18,18.61,6,6.73,7.62,4.71,31.05,4.48,,
Rockport,"7,761","1,683","1,551","$29,294 ","1,083",14.11,95.65,13.61,2,NA,5.76,3.08,27.66,6.15,,
Rowe,350,63,62,"$28,134 ",59,16.43,90,NA,0,0,0,NA,NA,0,,
Rowley,"5,832","1,695",550,"$27,413 ",688,12.68,90.91,18.22,0,0,8.14,7.95,12.94,2.65,,
Royalston,"1,366",409,128,"$18,297 ",388,31.11,86.67,NA,0,0,0,0,24.44,NA,,
Russell,"1,723",477,166,"$21,318 ",349,21.19,79.75,17.07,0,0,NA,NA,41.46,NA,,
Rutland,"7,406","2,329",553,"$23,311 ",690,11.06,77.56,16.57,4,NA,8.31,7.46,8.06,2.49,,
Salem,"41,647","9,520","5,689","$23,857 ","8,935",22.77,80.48,11.92,7,3.37,7.01,3.99,36.75,6.11,,
Salisbury,"8,264","2,033",965,"$21,608 ","1,629",21.04,84.94,15.46,4,NA,8.83,5.68,43.42,8.83,,
Sandisfield,830,163,145,"$27,628 ",124,15.9,91.3,21.74,0,0,0,0,42.86,0,,
Sandwich,"20,707","5,740","2,889","$26,895 ","2,370",11.89,89.97,18.27,2,2.7,6.63,5.68,17.3,3.51,,
Saugus,"26,867","5,811","4,652","$25,524 ","3,503",13.55,87.65,19.81,6,5.8,7.95,5.89,26.15,2.51,,
Savoy,724,170,75,"$20,223 ",141,20.77,80.95,NA,0,0,NA,0,NA,0,,
Scituate,"18,119","4,645","2,816","$33,940 ","1,548",8.75,92.39,17.35,3,4.57,7.61,6.09,9.15,1.83,,
Seekonk,"13,660","3,491","1,764","$24,058 ","1,434",10.7,87.53,14.54,1,NA,6.3,3.87,16.55,2.42,,
Sharon,"17,269","5,371","1,821","$41,323 ","1,241",7.16,81.1,21.84,0,0,9.01,6.12,7.46,1.36,,
Sheffield,"3,360",778,524,"$25,492 ",635,19.33,82.93,20.31,0,0,3.91,NA,43.22,3.91,,
Shelburne,"2,054",425,404,"$20,329 ",451,23.69,84.75,NA,1,NA,8.47,10,33.9,NA,,
Sherborn,"4,220","1,343",470,"$58,055 ",242,5.76,88.68,20.37,0,0,6.48,NA,NA,0,,
Shirley,"7,361","1,692",685,"$20,556 ",640,12.16,85.51,15.52,1,NA,3.97,2.17,21.32,5.05,,
Shrewsbury,"33,171","8,428","4,226","$31,570 ","3,695",11.73,81.54,14.22,6,3.83,7.65,5.17,10.03,1.21,,
Shutesbury,"1,843",501,100,"$26,260 ",293,16.25,77.78,9.52,0,0,NA,NA,13.33,NA,,
Somerset,"18,564","3,886","3,769","$22,420 ","2,524",14.14,92.12,13.14,4,6.72,4.71,3.36,26.27,5.21,,
Somerville,"75,372","13,866","8,021","$23,628 ","20,019",26.62,83.5,10.48,19,5.15,7.22,2.96,39.1,3.53,,
South Hadley,"17,071","3,829","2,969","$22,732 ","2,518",16.44,84.5,9.93,4,7.45,8.6,6.52,23.16,3.91,,
Southampton,"5,828","1,444",596,"$26,205 ",428,7.96,88.89,15.12,1,NA,5.81,3.49,15.88,NA,,
Southborough,"9,511","2,991",737,"$44,310 ",406,4.63,87.06,15.48,3,NA,7.11,4.57,3.81,NA,,
Southbridge,"17,503","4,625","2,457","$18,514 ","5,748",33.91,83.65,12.4,8,7.93,10.42,3.77,54.36,14.77,,
Southwick,"9,512","2,562","1,088","$21,756 ","1,276",14.5,84.87,14.42,1,NA,9.4,9.4,17.67,4.08,,
Spencer,"12,087","3,108","1,411","$21,017 ","2,494",21.43,83.18,12.31,2,3.73,6.34,4.1,24.34,5.97,,
Springfield,"156,358","47,878","18,271","$15,232 ","63,819",43.61,70.43,13.42,95,9.61,10.44,3.66,72.21,18.58,,
Sterling,"7,761","2,143",663,"$28,844 ",632,8.71,87.15,13.49,0,0,8.3,7.61,8.36,NA,,
Stockbridge,"2,256",371,496,"$32,499 ",499,22.59,63.83,NA,1,NA,17.02,NA,45.45,NA,,
Stoneham,"21,594","4,746","4,050","$27,599 ","2,718",12.41,89.62,14.91,3,3.44,6.9,6.41,12.43,1.6,,
Stoughton,"26,782","6,520","3,930","$25,480 ","3,666",13.79,81.35,16.45,4,3.22,11.95,6.69,28.07,2.66,,
Stow,"6,159","1,778",507,"$38,260 ",539,9.17,87.58,18.06,1,NA,4.35,4.01,4.36,NA,,
Sturbridge,"8,825","2,272","1,123","$25,559 ","1,192",15.25,86.06,15.61,1,NA,7.43,5.24,6.25,1.57,,
Sudbury,"17,035","5,574","1,673","$53,285 ","1,344",8.08,87.72,19.2,0,0,7.89,10.42,3.29,0.74,,
Sunderland,"3,853",645,281,"$20,024 ","1,315",35.43,86.96,9.48,0,0,8.62,6.9,31.9,NA,,
Sutton,"8,974","2,657",695,"$27,490 ",790,9.66,85.67,17.24,0,0,6.3,7.74,10.79,1.72,,
Swampscott,"14,283","3,485","2,556","$35,487 ","1,371",9.71,87.97,16.92,2,3.37,4.23,3.71,9.49,1.69,,
Swansea,"16,243","3,716","2,447","$21,776 ","2,618",16.66,90.82,15.47,2,3.68,6.45,3.87,33.52,3.87,,
Taunton,"56,348","14,443","6,936","$19,899 ","12,961",23.44,76.62,14.91,24,8,7.76,3.27,43.33,6.73,,
Templeton,"7,474","1,988",919,"$21,994 ","1,504",23.15,86.21,15.17,2,NA,3.73,NA,24.76,5.25,,
Tewksbury,"28,990","7,685","3,370","$27,031 ","3,021",10.62,83.84,17.56,1,0.83,6.79,4.67,13.23,2.59,,
Tisbury,"3,819",792,700,"$26,783 ","1,007",27.63,88.14,11.86,3,NA,5.67,7.22,47.67,3.09,,
Tolland,446,105,55,"$30,126 ",78,18.31,76.92,NA,0,0,0,0,NA,NA,,
Topsfield,"6,178","1,772",938,"$37,770 ",298,4.93,94.8,25.71,0,0,8,12.85,5.17,0,,
Townsend,"9,273","3,062",632,"$22,658 ","1,121",12.22,85.71,14.02,2,NA,7.5,4.35,15.77,2.48,,
Truro,"2,162",373,367,"$22,608 ",531,25.49,82.98,NA,0,0,NA,NA,40.43,NA,,
Tyngsborough,"11,297","3,607",763,"$27,249 ","1,409",12.73,83.41,16.3,3,NA,6.54,6.29,13.62,3.25,,
Tyringham,352,65,53,"$35,503 ",30,8.8,NA,NA,0,0,0,0,0,0,,
Upton,"6,374","1,856",588,"$34,924 ",463,8.28,89.07,14.43,0,0,6.89,4.59,6.98,1.64,,
Uxbridge,"12,377","3,659","1,182","$24,540 ","1,550",13.97,89.32,15.35,2,2.92,7.47,6.73,17.46,3.36,,
Wakefield,"24,553","5,883","3,798","$30,369 ","2,325",9.46,90.64,16.17,4,3.51,7.13,4.91,9.43,0.96,,
Wales,"1,818",464,127,"$21,267 ",286,16.63,84.62,20,1,NA,NA,0,21.05,NA,,
Walpole,"23,067","6,185","3,302","$32,117 ","1,190",5.44,85.41,20.39,1,0.93,5.1,4.26,9.39,1.02,,
Waltham,"59,564","12,290","7,827","$26,364 ","9,509",17.75,80.17,11.99,7,2.25,7.65,4.49,30.58,3.66,,
Ware,"9,988","2,397","1,539","$18,908 ","2,851",29.57,82.15,12.24,2,3.77,5.65,1.88,45.42,11.11,,
Wareham,"21,274","5,294","3,471","$21,312 ","5,714",28.62,84.38,11.59,3,3.12,6.36,3.43,40.32,8,,
Warren,"5,040","1,392",636,"$17,192 ","1,551",32.84,76.82,12.55,4,NA,7.11,5.02,38.14,9.21,,
Warwick,763,170,78,"$19,989 ",153,20.45,80,NA,0,0,0,0,47.37,0,,
Washington,546,145,53,"$23,610 ",126,22.99,68.18,NA,0,0,NA,0,42.86,NA,,
Watertown,"32,255","5,311","5,551","$33,262 ","4,729",14.85,87.27,12.33,3,1.8,7.76,5.95,16.72,1.08,,
Wayland,"13,015","3,764","1,837","$52,717 ",947,7.32,89.93,15.03,0,0,5.24,6.82,3.44,NA,,
Webster,"16,853","3,993","2,693","$20,410 ","4,494",27.92,82.43,14.05,4,4.68,7.49,3.39,32.38,7.49,,
Wellesley,"26,975","8,142","3,656","$52,866 ","1,691",7.3,86.34,15.27,0,0,7.25,7.91,3.89,0.48,,
Wellfleet,"2,821",509,606,"$25,712 ",612,22.34,88.52,8.2,1,NA,13.11,NA,39.34,NA,,
Wendell,"1,035",267,49,"$19,701 ",206,23.12,78.13,NA,1,NA,NA,0,45.16,0,,
Wenham,"4,643","1,493",629,"$36,812 ",356,10.16,96.4,14.41,1,NA,5.41,6.9,6.31,0,,
West Boylston,"7,708","1,713","1,056","$22,899 ",699,11.43,83.49,16.06,3,NA,5.07,5.05,9.68,2.29,,
West Bridgewater,"6,819","1,573","1,239","$23,701 ",833,12.82,88.64,12.03,0,0,5.28,3.76,18.87,4.14,,
West Brookfield,"3,896",922,811,"$21,501 ",490,14.31,85.5,17.56,3,NA,7.58,6.02,27.27,9.77,,
West Newbury,"4,301","1,303",374,"$35,323 ",340,8.19,95.1,21.09,2,NA,10.88,4.03,9.35,NA,,
West Springfield,"27,938","6,660","4,273","$20,982 ","7,437",27.09,78.56,12.13,7,5.16,8.57,4.2,46.45,6.93,,
West Stockbridge,"1,450",311,243,"$31,425 ",275,19.5,72.41,31.03,0,0,NA,0,23.33,NA,,
West Tisbury,"2,666",641,275,"$31,021 ",411,16.7,92.71,8.25,0,0,NA,6.06,31.58,NA,,
Westborough,"18,781","5,296","2,088","$35,063 ","1,687",9.76,81.75,15.88,3,3.36,6.94,5.03,15.44,1.9,,
Westfield,"40,432","10,706","5,363","$20,600 ","8,717",23.22,81.28,14.72,7,4,6.24,2.4,40.13,7.15,,
Westford,"21,369","7,013","1,558","$37,979 ","1,071",5.19,80.1,19.14,2,2.47,7.54,5.43,4.98,0.74,,
Westhampton,"1,566",377,146,"$25,360 ",159,10.83,95.92,14.29,0,0,0,0,NA,NA,,
Westminster,"7,358","2,031",757,"$24,913 ",937,13.7,88,13.2,1,NA,6,3.98,21.54,5.18,,
Weston,"11,591","3,397","1,923","$79,640 ",726,6.73,90.94,22.48,0,0,6.04,8.39,NA,0,,
Westport,"15,053","3,292","2,103","$25,281 ","2,162",15.29,92.92,11.81,3,6,7.21,4.4,26.12,4.2,,
Westwood,"13,902","3,932","2,680","$41,553 ",967,6.92,89.45,19.46,0,0,5.18,6.25,4.64,NA,,
Weymouth,"53,708","12,699","8,201","$24,976 ","8,254",15.46,89.56,16.15,15,5.49,7.76,5.05,27.53,3.69,,
Whately,"1,584",333,194,"$27,826 ",199,12.82,90.2,23.53,0,0,NA,NA,25.49,NA,,
Whitman,"14,424","3,973","1,410","$23,002 ","2,336",16.93,89.43,18.84,2,2.51,7.41,5.4,20.4,4.52,,
Wilbraham,"13,960","3,717","2,304","$29,854 ","1,570",11.85,86.99,15.28,3,NA,5.41,4.64,16.93,2.58,,
Williamsburg,"2,433",498,321,"$25,813 ",411,16.93,91.58,20,1,NA,5.26,NA,15.79,NA,,
Williamstown,"8,276","1,942","1,578","$26,039 ","1,102",18.08,91.23,14.53,1,NA,6.4,3.47,28.21,3.47,,
Wilmington,"21,431","6,231","2,355","$25,835 ","1,639",7.77,87.4,15.67,1,0.99,7.05,6.53,7.78,1.68,,
Winchendon,"10,085","3,161","1,011","$18,798 ","2,436",25.59,78.91,13.42,1,NA,8.01,3.9,36.18,10.17,,
Winchester,"21,139","5,491","3,658","$50,414 ","1,383",6.77,89.97,16.91,1,1.11,5.45,6.56,3.57,0.89,,
Windsor,858,221,89,"$21,794 ",181,20.38,81.82,NA,0,0,NA,NA,45.45,NA,,
Winthrop,"17,067","3,497","2,702","$27,374 ","2,810",15.53,88.28,15.94,4,5.85,8.33,4.82,25.04,3.07,,
Woburn,"37,074","8,385","5,703","$26,207 ","5,479",14.77,84.1,13.55,9,4.56,7.88,4.46,19.9,2.63,,
Worcester,"179,839","48,217","23,062","$18,614 ","58,841",36.22,75.3,10.95,99,9.51,8.32,3.47,49.01,9.88,,
Worthington,"1,291",313,146,"$24,190 ",175,14.43,83.33,NA,0,0,NA,NA,33.33,0,,
Wrentham,"11,066","3,233","1,316","$30,792 ",966,9.73,82.17,19.14,2,NA,7.46,8.3,9.95,1.49,,
Yarmouth,"24,663","4,161","7,475","$22,731 ","5,241",21.33,86.73,12.12,4,4.52,7.59,5.31,47.6,6.55,,
Massachusetts Total,"6,436,940","1,638,528","853,535","$25,952 ","1,330,196",21.67,83,14.11,1522,4.92,7.88,4.53,34.39,6.14,,
,,,,,,,,,,,,,,,,
"Note: for infant mortality rate (IMR), data suppressed where number of births < 500; for other variables, data suppressed where number of observations 1-4.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
